Lat Lon Date Label
39.10791397 26.56552315 07/06/2018 Plastic
39.10791779 26.56563759 07/06/2018 Plastic
39.10863876 26.566211699999997 07/06/2018 Plastic
39.10827637 26.56586838 07/06/2018 Plastic
39.10818863 26.56621552 18/04/2019 Plastic
39.10809708 26.56621552 18/04/2019 Plastic
39.10809708 26.56609917 18/04/2019 Plastic
39.10809708 26.56609917 18/05/2019 Plastic
39.10764694 26.56587219 07/06/2019 Plastic
39.10818863 26.56632996 06/07/2020 Plastic
39.10764694 26.56645012 06/07/2020 Plastic
39.10765076 26.56656456 06/07/2020 Plastic
39.10773849 26.56656456 06/07/2020 Plastic
39.10828018 26.56632996 06/07/2020 Plastic
39.10800552 26.56586838 07/06/2018 Seawater
39.10836792 26.56621361 07/06/2018 Seawater
39.10818863 26.56667709 18/04/2019 Seawater
39.10782623 26.56621742 18/04/2019 Seawater
39.10773849 26.56610298 18/05/2019 Seawater
39.10810089 26.5664463 18/05/2019 Seawater
39.10800934 26.56656265 18/05/2019 Seawater
39.1075592 26.56633377 07/06/2019 Seawater
39.107921600000005 26.566678999999997 07/06/2019 Seawater
39.108284000000005 26.56748772 06/07/2020 Seawater
39.10756302 26.56749153 06/07/2020 Seawater
-29.87949753 31.07777977 24/04/2019 Debris
-29.85665321 31.07676888 24/04/2019 Debris
-29.85221291 31.08171844 24/04/2019 Debris
-29.85327339 31.08024788 24/04/2019 Debris
-29.86668205 31.09013557 24/04/2019 Debris
-29.8691082 31.08315468 24/04/2019 Debris
-29.87613106 31.06966591 24/04/2019 Debris
-29.85336494 31.08024597 24/04/2019 Debris
-29.85274315 31.08098221 24/04/2019 Debris
-29.87141991 31.08072853 24/04/2019 Debris
-29.87681961 31.06747818 24/04/2019 Debris
-29.8726902 31.12521935 24/04/2019 Debris
-29.87676811 31.07006645 24/04/2019 Debris
-29.86493492 31.09410286 24/04/2019 Debris
-29.86606026 31.09076881 24/04/2019 Debris
-29.85247803 31.08140182 24/04/2019 Debris
-29.86718178 31.08722878 24/04/2019 Debris
-29.87638092 31.0683136 24/04/2019 Debris
-29.86796188 31.11640549 24/04/2019 Debris
-29.86808014 31.11837006 24/04/2019 Debris
-29.86199951 31.12852478 24/04/2019 Debris
-29.85265541 31.08108902 24/04/2019 Debris
-29.86805344 31.08514214 24/04/2019 Debris
-29.85682678 31.07635117 24/04/2019 Debris
-29.86594009 31.12017059 24/04/2019 Debris
-29.86613846 31.08993912 24/04/2019 Debris
-29.86149406 31.06839371 24/04/2019 Debris
-29.86190987 31.12862968 24/04/2019 Debris
-29.863449100000004 31.12259674 24/04/2019 Debris
-29.86203384 31.06838417 24/04/2019 Debris
-29.85674286 31.07676697 24/04/2019 Debris
-29.85559654 31.07865143 24/04/2019 Debris
-29.85630608 31.07781029 24/04/2019 Debris
-29.86335182 31.12208176 24/04/2019 Debris
-29.87134743 31.08197212 24/04/2019 Debris
-29.86283684 31.06774712 24/04/2019 Debris
-29.85621834 31.07791519 24/04/2019 Debris
-29.86257172 31.06806374 24/04/2019 Debris
-29.85719299 31.07665443 24/04/2019 Seawater
-29.83971786 31.15470886 24/04/2019 Seawater
-29.83424568 31.15067101 24/04/2019 Seawater
-29.86784744 31.08959579 24/04/2019 Seawater
-29.8366375 31.15393829 24/04/2019 Seawater
-29.85683823 31.07717896 24/04/2019 Seawater
-29.83395958 31.15595436 24/04/2019 Seawater
-29.86302757 31.06846809 24/04/2019 Seawater
